Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
169,MNE,Montenegro,Podgorica,Europe," 627,082 "," 629,048 "," 633,966 "," 631,044 "," 633,324 "," 621,442 "," 589,324 "," 530,268 ",13812,45.4012,0.9988,0.01
230,MSR,Montserrat,Brades,North America," 4,390 "," 4,500 "," 5,059 "," 4,938 "," 5,138 "," 10,805 "," 11,452 "," 11,402 ",102,43.0392,0.9939,0
40,MAR,Morocco,Rabat,Africa," 37,457,971 "," 36,688,772 "," 34,680,458 "," 32,464,865 "," 28,554,415 "," 24,570,814 "," 19,678,444 "," 15,274,351 ",446550,83.883,1.0103,0.47
48,MOZ,Mozambique,Maputo,Africa," 32,969,517 "," 31,178,239 "," 26,843,246 "," 23,073,723 "," 17,768,505 "," 13,303,459 "," 11,413,587 "," 8,411,676 ",801590,41.1302,1.0278,0.41
26,MMR,Myanmar,Nay Pyi Taw,Asia," 54,179,306 "," 53,423,198 "," 51,483,949 "," 49,390,988 "," 45,538,332 "," 40,099,553 "," 33,465,781 "," 27,284,112 ",676578,80.0784,1.0071,0.68
145,NAM,Namibia,Windhoek,Africa," 2,567,012 "," 2,489,098 "," 2,282,704 "," 2,099,271 "," 1,819,141 "," 1,369,011 "," 975,994 "," 754,467 ",825615,3.1092,1.0146,0.03
225,NRU,Nauru,Yaren,Oceania," 12,668 "," 12,315 "," 11,185 "," 10,241 "," 10,377 "," 9,598 "," 7,635 "," 6,663 ",21,603.2381,1.0125,0
49,NPL,Nepal,Kathmandu,Asia," 30,547,580 "," 29,348,627 "," 27,610,325 "," 27,161,567 "," 24,559,500 "," 19,616,530 "," 15,600,442 "," 12,501,285 ",147181,207.5511,1.0171,0.38
71,NLD,Netherlands,Amsterdam,Europe," 17,564,014 "," 17,434,557 "," 17,041,107 "," 16,617,116 "," 15,899,135 "," 14,944,548 "," 14,130,387 "," 13,037,686 ",41850,419.6897,1.0036,0.22
185,NCL,New Caledonia,Nouméa,Oceania," 289,950 "," 286,403 "," 283,032 "," 261,426 "," 221,537 "," 177,264 "," 148,599 "," 110,982 ",18575,15.6097,1.0075,0
123,NZL,New Zealand,Wellington,Oceania," 5,185,288 "," 5,061,133 "," 4,590,590 "," 4,346,338 "," 3,855,266 "," 3,397,389 "," 3,147,168 "," 2,824,061 ",270467,19.1716,1.0108,0.07
106,NIC,Nicaragua,Managua,North America," 6,948,392 "," 6,755,895 "," 6,298,598 "," 5,855,734 "," 5,123,222 "," 4,227,820 "," 3,303,309 "," 2,444,767 ",130373,53.2962,1.0143,0.09
54,NER,Niger,Niamey,Africa," 26,207,977 "," 24,333,639 "," 20,128,124 "," 16,647,543 "," 11,622,665 "," 8,370,647 "," 6,173,177 "," 4,669,708 ",1267000,20.6851,1.0378,0.33
6,NGA,Nigeria,Abuja,Africa," 218,541,212 "," 208,327,405 "," 183,995,785 "," 160,952,853 "," 122,851,984 "," 95,214,257 "," 72,951,439 "," 55,569,264 ",923768,236.5759,1.0241,2.74
232,NIU,Niue,Alofi,Oceania," 1,934 "," 1,942 "," 1,847 "," 1,812 "," 2,074 "," 2,533 "," 3,637 "," 5,185 ",260,7.4385,0.9985,0
56,PRK,North Korea,Pyongyang,Asia," 26,069,416 "," 25,867,467 "," 25,258,015 "," 24,686,435 "," 23,367,059 "," 20,799,523 "," 17,973,650 "," 14,996,879 ",120538,216.2755,1.0038,0.33
150,MKD,North Macedonia,Skopje,Europe," 2,093,599 "," 2,111,072 "," 2,107,962 "," 2,093,828 "," 2,037,936 "," 2,044,174 "," 1,907,023 "," 1,656,783 ",25713,81.4218,0.9954,0.03
210,NFK,Northern Mariana Islands,Saipan,Oceania," 49,551 "," 49,587 "," 51,514 "," 54,087 "," 80,338 "," 48,002 "," 17,613 "," 10,143 ",464,106.7909,1.0014,0
120,NOR,Norway,Oslo,Europe," 5,434,319 "," 5,379,839 "," 5,190,356 "," 4,889,741 "," 4,491,202 "," 4,241,636 "," 4,085,776 "," 3,875,546 ",323802,16.7828,1.0058,0.07
127,OMN,Oman,Muscat,Asia," 4,576,298 "," 4,543,399 "," 4,191,776 "," 2,881,914 "," 2,344,253 "," 1,804,524 "," 1,017,462 "," 670,693 ",309500,14.7861,1.0123,0.06
5,PAK,Pakistan,Islamabad,Asia," 235,824,862 "," 227,196,741 "," 210,969,298 "," 194,454,498 "," 154,369,924 "," 115,414,069 "," 80,624,057 "," 59,290,872 ",881912,267.4018,1.0191,2.96
222,PLW,Palau,Ngerulmud,Oceania," 18,055 "," 17,972 "," 17,794 "," 18,540 "," 19,726 "," 15,293 "," 12,252 "," 11,366 ",459,39.3355,1.0017,0
122,PSE,Palestine,Ramallah,Asia," 5,250,072 "," 5,019,401 "," 4,484,614 "," 3,992,278 "," 3,139,954 "," 2,124,609 "," 1,453,620 "," 1,118,241 ",6220,844.063,1.0227,0.07
128,PAN,Panama,Panama City,North America," 4,408,581 "," 4,294,396 "," 3,957,099 "," 3,623,617 "," 3,001,731 "," 2,449,968 "," 1,956,987 "," 1,516,188 ",75417,58.4561,1.0132,0.06
93,PNG,Papua New Guinea,Port Moresby,Oceania," 10,142,619 "," 9,749,640 "," 8,682,174 "," 7,583,269 "," 5,508,297 "," 3,864,972 "," 3,104,788 "," 2,489,059 ",462840,21.9139,1.0194,0.13
109,PRY,Paraguay,Asunción,South America," 6,780,744 "," 6,618,695 "," 6,177,950 "," 5,768,613 "," 5,123,819 "," 4,059,195 "," 3,078,912 "," 2,408,787 ",406752,16.6705,1.0115,0.09
44,PER,Peru,Lima,South America," 34,049,588 "," 33,304,756 "," 30,711,863 "," 29,229,572 "," 26,654,439 "," 22,109,099 "," 17,492,406 "," 13,562,371 ",1285216,26.4933,1.0099,0.43
13,PHL,Philippines,Manila,Asia," 115,559,009 "," 112,190,977 "," 103,031,365 "," 94,636,700 "," 77,958,223 "," 61,558,898 "," 48,419,546 "," 37,435,586 ",342353,337.5434,1.0147,1.45
37,POL,Poland,Warsaw,Europe," 39,857,145 "," 38,428,366 "," 38,553,146 "," 38,597,353 "," 38,504,431 "," 38,064,255 "," 35,521,429 "," 32,482,943 ",312679,127.4698,1.0404,0.5
92,PRT,Portugal,Lisbon,Europe," 10,270,865 "," 10,298,192 "," 10,365,435 "," 10,588,401 "," 10,300,626 "," 10,007,346 "," 9,785,252 "," 8,683,631 ",92090,111.5307,0.9981,0.13
136,PRI,Puerto Rico,San Juan,North America," 3,252,407 "," 3,271,564 "," 3,497,335 "," 3,717,922 "," 3,827,108 "," 3,543,776 "," 3,214,568 "," 2,737,619 ",8870,366.675,0.9989,0.04
